model_name,attack_type,epsilon,clean_rmse,adv_rmse,delta_rmse,robustness,training_type
XGBoost,a4,0.5,0.01659127575873802,0.017986619218125097,0.0013953434593870773,0.9158989652346534,standard
XGBoost,a4,1.0,0.01659127575873802,0.02141922348950257,0.004827947730764552,0.7090068418504919,standard
MLP,a1,0.25,0.021138771702295344,0.02238951076622046,0.001250739063925116,0.9408319895999773,standard
MLP,a1,0.5,0.021138771702295344,0.025775266748140208,0.0046364950458448635,0.7806639330258999,standard
MLP,a1,1.0,0.021138771702295344,0.037349394007145764,0.01621062230485042,0.23313319557303336,standard
MLP,a2,0.25,0.021138771702295344,0.021545267998384875,0.0004064962960895306,0.9807701080358708,standard
MLP,a2,0.5,0.021138771702295344,0.021499117434697203,0.0003603457324018594,0.9829533268310603,standard
MLP,a2,1.0,0.021138771702295344,0.021758694756821056,0.0006199230545257117,0.9706736482489946,standard
MLP,a3,0.25,0.021138771702295344,0.02242502378899105,0.0012862520866957043,0.9391519949782117,standard
MLP,a3,0.5,0.021138771702295344,0.02599044954864,0.004851677846344656,0.7704844011434289,standard
MLP,a3,1.0,0.021138771702295344,0.03745539813751911,0.016316626435223764,0.22811851771633307,standard
MLP,a4,0.25,0.021138771702295344,0.022131129247463834,0.0009923575451684895,0.9530550989837913,standard
MLP,a4,0.5,0.021138771702295344,0.024819254851236226,0.003680483148940882,0.8258894508737592,standard
MLP,a4,1.0,0.021138771702295344,0.03455523447140714,0.013416462769111796,0.365314931346982,standard
Single-Head,a1,0.25,0.016711105924600674,0.016854305874066,0.0001431999494653259,0.9914308514282996,standard
Single-Head,a1,0.5,0.016711105924600674,0.017518415426270063,0.0008073095016693892,0.9516902408905843,standard
Single-Head,a1,1.0,0.016711105924600674,0.02086791261605091,0.004156806691450236,0.751254841528415,standard
Single-Head,a2,0.25,0.016711105924600674,0.016883480803966462,0.00017237487936578796,0.9896850106663478,standard
Single-Head,a2,0.5,0.016711105924600674,0.01678101424372728,6.990831912660408e-05,0.9958166551368877,standard
Single-Head,a2,1.0,0.016711105924600674,0.016945977643783628,0.00023487171918295385,0.9859451720165812,standard
Single-Head,a3,0.25,0.016711105924600674,0.016923710851516952,0.00021260492691627803,0.9872776267545944,standard
Single-Head,a3,0.5,0.016711105924600674,0.017276053774316465,0.0005649478497157905,0.9661932697773089,standard
Single-Head,a3,1.0,0.016711105924600674,0.021412464790153928,0.004701358865553253,0.7186685975921969,standard
Single-Head,a4,0.25,0.016711105924600674,0.01681319277671526,0.00010208685211458499,0.9938910774322661,standard
Single-Head,a4,0.5,0.016711105924600674,0.0172572819575431,0.0005461760329424255,0.9673165836296692,standard
Single-Head,a4,1.0,0.016711105924600674,0.01928646680635685,0.0025753608817561773,0.8458892611071929,standard
Multi-Head,a1,0.25,0.016502697818575746,0.016804081733058716,0.0003013839144829708,0.9817372942414465,standard
